,,
,,
Skill In Portuguese,Skill in English,Frequency
SQL,SQL,20
Comunicação,Communication,17
Python,Python,15
Power BI,Power BI,15
Excel,Excel,14
Capacidade Analitica,Analytical Capacity,13
R ,R,9
Data Storytelling,Data Storytelling,9
Tableu,Tableu,8
ETL,ETL,7
Raciocinio Lógico,Logical Reasoning,6
Looker,Looker,4
Metodologia Agil,Agile Methodology,3
Power Automate,Power Automate,3
Inglês,English,3
Google Analytics,Google Analytics,3
SAS,SAS,2
Gestão de Pessoas,People Management,2
Metabase,Metabase,2
Git,Git,2
Airflow,Airflow,2
Machine Leaning,Machine Leaning,2
Engenharia de Dados,Data Engineering,1
MicroStrategy ,MicroStrategy,1
TIBCO Spotfire,TIBCO Spotfire,1
DataBricks,DataBricks,1
Figma,Figma,1
Super Set,Super Set,1
Snow Flake,Snow Flake,1
Sales Engineering ,Sales Engineering,1
Geofusion Intelligente,Geofusion Intelligente,1
Power Apps,Power Apps,1
Ferramentas de Social Listening,Social Listening Tools,1
LGPD,LGPD,1
Data Lake,Data Lake,1
AWS,AWS,1
Uso de API,API Usage,1
MixPanel,MixPanel,1
Google Clound,Google Cloud,1
